start,end,today,geopoint_test:Latitude,geopoint_test:Longitude,geopoint_test:Altitude,geopoint_test:Accuracy,datetime_test,select_soundwatchvessel,Boat_Driver,vessel,action,kayak_num,incidents,ODK conversion,select_previous,select_photo,select_whaleinfo,whaleinformation,select_behavior,changeinbehavior,select_wwf,vesselswwf,select_kayakwwf,Comments,initials,meta:instanceID
Sun Aug 18 19:53:58 UTC 2019,Sun Aug 18 19:54:48 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.64458833,-123.2079517,-2.799999952,3.9,Sun Aug 18 19:54:00 UTC 2019,Raydiance,Tay,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,J pod,,,wwf_n,2,,,Kw,uuid:1a75d6c9-b2f1-468f-8997-8478cf1bbcca
Sun Aug 18 21:12:19 UTC 2019,Sun Aug 18 21:13:06 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.71751333,-123.2555217,-6.699999809,3.9,Sun Aug 18 21:12:00 UTC 2019,Raydiance,Taylot,PS,T,,300_yards_under_power,300 yards under power,contact_no,photo_n,whaleinfo_y,J pod,,,wwf_n,2,,W/in 400 canada,Kw,uuid:db012bbb-aa79-4b2a-8063-774d10b5a06e
Sun Aug 18 21:20:16 UTC 2019,Sun Aug 18 21:21:02 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.72466833,-123.2626583,-6.199999809,3.9,Sun Aug 18 21:20:00 UTC 2019,Raydiance,Taylor,PS,T,,300_yards_under_power,300 yards under power,contact_no,photo_y,whaleinfo_y,J pod,,,wwf_n,2,,In CA,Kw,uuid:2e7097f3-f8d2-490b-8ec2-5e2116741dc7
Sun Aug 18 21:22:22 UTC 2019,Sun Aug 18 21:23:14 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.72649667,-123.26478,-6.199999809,3.9,Sun Aug 18 21:22:00 UTC 2019,Raydiance,Tay,PS,WO,,300_yards_under_power 400yd_inthepath,300 yards under power,contact_yes,photo_y,whaleinfo_y,J ppd,behavior_y,Tail slap,wwf_n,2,kayakwwf_n,IN CA,Kw,uuid:ee8eb92f-9b14-4f08-ad39-91a504def708
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sun Aug 18 21:31:35 UTC 2019,Sun Aug 18 21:32:54 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.73624167,-123.2743817,-7.400000095,3.9,Sun Aug 18 21:31:00 UTC 2019,Raydiance,Taylor,PS,T,,300_yards_under_power 400yd_inthepath,300 yards under power,contact_no,photo_y,whaleinfo_y,J pod,behavior_y,Pec slap,wwf_n,2,kayakwwf_n,In CA,Kw,uuid:cbc5fae9-660c-4f65-946e-bbf9bb4edd94
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sun Aug 18 21:35:01 UTC 2019,Sun Aug 18 21:36:46 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.73928,-123.2794817,-7.300000191,3.9,Sun Aug 18 21:35:00 UTC 2019,Raydiance,Taylor,PM,T,,high_speed_within_1km 300_yards_under_power,high speed within 1km,contact_no,photo_y,whaleinfo_y,J pod,behavior_n,,wwf_n,2,,Canada no go zone,Kw,uuid:f2599bb6-5260-4235-9ac5-d2999cfe1dfb
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
Sun Aug 18 21:36:53 UTC 2019,Sun Aug 18 21:37:46 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.74094333,-123.28111,-7.699999809,3.9,Sun Aug 18 21:36:00 UTC 2019,Raydiance,Tayloe,PM,T,,high_speed_within_1km 300_yards_under_power,high speed within 1km,contact_no,photo_y,whaleinfo_y,J pod,behavior_n,,wwf_n,2,kayakwwf_n,Canada no gonzone,Kw,uuid:1aba4e6d-4b59-4980-bb56-46252015a989
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
Sun Aug 18 21:56:01 UTC 2019,Sun Aug 18 21:56:50 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.75661,-123.30009,-8.399999619,3.9,Sun Aug 18 21:56:00 UTC 2019,Raydiance,Tayloe,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_y,whaleinfo_y,J pod,,,wwf_n,2,,In CA nogo zones,Kw,uuid:fe981aa8-3d55-4364-9f6c-2e602e4bf91a
Mon Aug 19 22:23:56 UTC 2019,Mon Aug 19 22:25:17 UTC 2019,Mon Aug 19 00:00:00 UTC 2019,48.71029833,-123.1235833,-8.300000191,3.9,Mon Aug 19 22:24:00 UTC 2019,Raydiance,Taylor,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,,whaleinfo_y,Srkw,behavior_n,,,3,,,Em,uuid:a5547ef3-dc1d-4fba-a54e-d375bec51a3d
Mon Aug 19 22:29:17 UTC 2019,Mon Aug 19 22:31:31 UTC 2019,Mon Aug 19 00:00:00 UTC 2019,48.71035333,-123.131705,-8.300000191,3.9,Mon Aug 19 22:29:00 UTC 2019,Raydiance,Taylor,PM,T,,300_yards_under_power,300 yards under power,contact_yes,photo_n,whaleinfo_y,Jpod,behavior_n,,wwf_n,3,,,Em,uuid:716a668b-7d7b-4be0-b65a-0e316e338c7e
Mon Aug 19 23:08:18 UTC 2019,Mon Aug 19 23:09:05 UTC 2019,Mon Aug 19 00:00:00 UTC 2019,48.708515,-123.215775,-8.300000191,3.9,Mon Aug 19 23:08:00 UTC 2019,Raydiance,Taylor,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,J,behavior_unk,,wwf_n,4,kayakwwf_n,,Em,uuid:4fa87310-97b1-4177-baa2-d22c3ec20df9
Mon Aug 19 23:34:58 UTC 2019,Mon Aug 19 23:36:48 UTC 2019,Mon Aug 19 00:00:00 UTC 2019,48.68304667,-123.245675,-8.300000191,3.9,Mon Aug 19 23:35:00 UTC 2019,Raydiance,Tay,PM,T,,high_speed_within_1km 300_yards_under_power,high speed within 1km,contact_no,photo_y,whaleinfo_y,J,behavior_unk,,wwf_n,2,,X2,Em,uuid:bed54ed2-64c3-4836-98e6-699daff8c303
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
Tue Aug 20 18:20:08 UTC 2019,Tue Aug 20 18:20:52 UTC 2019,Tue Aug 20 00:00:00 UTC 2019,48.73015667,-122.96819,-3.799999952,3.9,Tue Aug 20 18:20:00 UTC 2019,Raydiance,Taylor,PM,WO,,400yd_inthepath,400yd inthepath,contact_no,photo_y,whaleinfo_y,J pod,behavior_n,,wwf_n,4,,,Kw,uuid:cf353738-8301-41cc-8956-817cc7ec642c
Tue Aug 20 18:22:39 UTC 2019,Tue Aug 20 18:23:30 UTC 2019,Tue Aug 20 00:00:00 UTC 2019,48.72922667,-122.9679267,-5.300000191,3.9,Tue Aug 20 18:22:00 UTC 2019,Raydiance,Taylor,PM,T,,high_speed_within_1km 400yd_inthepath,high speed within 1km,contact_no,photo_n,whaleinfo_y,J pod,behavior_y,Dove,wwf_n,4,,,Kw,uuid:88cb964b-4ae9-43ad-b325-31ad1171a8df
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Tue Aug 20 21:08:31 UTC 2019,Tue Aug 20 21:09:19 UTC 2019,Tue Aug 20 00:00:00 UTC 2019,48.86554,-123.0346467,-5.300000191,3.9,Tue Aug 20 21:08:00 UTC 2019,Raydiance,Taylor,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,J pod,behavior_n,,wwf_n,2,,,Kw,uuid:9f4059f0-3fd5-47e3-9777-8966ac07af3c
